item_ID,weight,profit
1,1,2
2,3,9
3,4,3
4,3,8
5,3,10
6,1,6
7,5,4
8,1,10
9,3,5
10,2,4
11,6,9
12,8,1
13,9,15
14,9,1
15,7,5
16,7,11
17,3,18
18,8,15
19,10,11
20,1,6
21,8,1
22,1,20
23,4,15
24,3,2
25,2,18
26,9,9
27,6,9
28,10,8
29,10,13
30,3,8
31,10,2
32,3,17
33,2,7
34,3,7
35,1,19
36,4,11
37,10,3
38,2,8
39,3,2
40,10,14
41,3,15
42,9,3
43,8,20
44,8,12
45,4,8
46,5,12
47,1,18
48,6,9
49,2,13
50,4,13
51,10,20
52,8,7
53,8,10
54,6,4
55,4,11
56,5,16
57,4,8
58,4,12
59,3,13
60,1,14
61,8,9
62,9,19
63,7,18
64,7,15
65,3,10
66,10,2
67,8,11
68,10,1
69,4,16
70,1,16
71,9,4
72,7,7
73,7,18
74,10,11
75,8,12
76,6,20
77,4,13
78,3,20
79,6,4
80,2,18
81,6,3
82,10,20
83,3,20
84,7,14
85,5,4
86,8,19
87,2,19
88,2,17
89,8,19
90,8,2
91,4,5
92,9,11
93,7,4
94,7,20
95,7,9
96,6,10
97,7,18
98,4,14
99,10,11
100,1,11
